2024-02-18 16:57:11.579353	https://www.encodeproject.org/report/?type=Experiment&control_type%21=%2A&status=released&perturbed=false&biosample_ontology.classification=cell+line&assay_title=eCLIP&target.investigated_as=RNA+binding+protein&award.rfa=ENCODE4&limit=all
ID	Accession	Assay name	Assay title	Biosample classification	Target	Target of assay	Target gene symbol	Biosample summary	Biosample term name	Dbxrefs	Description	Lab	Project	Status	Files	Related series	Biosample accession	Biological replicate	Technical replicate	Linked antibody	Organism	Life stage	Biosample age	Biosample treatment	Biosample treatment ontology ID	Biosample treatment amount	Biosample treatment amount units	Biosample treatment duration	Biosample treatment duration units	Synchronization	Post-synchronization time	Post-synchronization time units	Biosample modification site target organism	Biosample modification site introduced gene organism	Replicates	Mixed biosamples	Cellular component	Library construction platform	Library construction method
/experiments/ENCSR322HHA/	ENCSR322HHA	eCLIP	eCLIP	cell line	/targets/TIAL1-human/	TIAL1	TIAL1	Homo sapiens HepG2	HepG2	GEO:GSE177133,RBPImage:TIAL1	eCLIP experiment on HepG2 against TIAL1	Gene Yeo, UCSD	ENCODE	released	/files/ENCFF164ZGA/,/files/ENCFF959XKN/,/files/ENCFF430UQQ/,/files/ENCFF708YAL/,/files/ENCFF118ANT/,/files/ENCFF620WSX/,/files/ENCFF674HCV/,/files/ENCFF253ZDJ/,/files/ENCFF062MYF/,/files/ENCFF835AWK/,/files/ENCFF456DAU/,/files/ENCFF473IIG/,/files/ENCFF078OCN/,/files/ENCFF624IBZ/,/files/ENCFF413UKK/,/files/ENCFF902OZA/,/files/ENCFF777OKN/,/files/ENCFF080ZJK/,/files/ENCFF297REJ/,/files/ENCFF513PTO/,/files/ENCFF467UOO/,/files/ENCFF089ZJS/,/files/ENCFF302ROS/,/files/ENCFF613MXF/,/files/ENCFF387ZAH/,/files/ENCFF612HOP/		ENCBS768GCL,ENCBS575NGC	1,2	1	ENCAB050ZSG	Homo sapiens	child	15 years												/replicates/1e3c0bf8-58c9-4502-943f-9c1d4b9b4f05/,/replicates/0842505b-15dd-44ab-9378-8fdfe34f7176/				
/experiments/ENCSR734ZHL/	ENCSR734ZHL	eCLIP	eCLIP	cell line	/targets/UTP3-human/	UTP3	UTP3	Homo sapiens K562	K562	GEO:GSE177584	eCLIP experiment on K562 against UTP3	Gene Yeo, UCSD	ENCODE	released	/files/ENCFF037SFC/,/files/ENCFF901ESA/,/files/ENCFF085FSS/,/files/ENCFF612CUM/,/files/ENCFF182NRE/,/files/ENCFF317ALA/,/files/ENCFF683WHG/,/files/ENCFF237VQW/,/files/ENCFF584UPG/,/files/ENCFF979FJC/,/files/ENCFF122OMX/,/files/ENCFF739KMN/,/files/ENCFF306WLX/,/files/ENCFF712PFK/,/files/ENCFF826UUS/,/files/ENCFF612HAQ/,/files/ENCFF247UQF/,/files/ENCFF584CAL/,/files/ENCFF115DFJ/,/files/ENCFF363DGG/,/files/ENCFF484NSW/,/files/ENCFF106YFV/,/files/ENCFF832JDM/,/files/ENCFF762RZG/,/files/ENCFF669GII/,/files/ENCFF028GAJ/		ENCBS517UIR,ENCBS318IMK	2,1	1	ENCAB872CCU	Homo sapiens	adult	53 years												/replicates/87a23313-9675-4b20-9038-10db365a8a73/,/replicates/3b1565b3-7096-4a1c-8675-424a526a7607/				
/experiments/ENCSR964VOX/	ENCSR964VOX	eCLIP	eCLIP	cell line	/targets/UTP18-human/	UTP18	UTP18	Homo sapiens K562	K562	GEO:GSE177954	eCLIP experiment on K562 against UTP18	Gene Yeo, UCSD	ENCODE	released	/files/ENCFF656OVN/,/files/ENCFF386YUM/,/files/ENCFF038OVY/,/files/ENCFF795DXS/,/files/ENCFF946YXD/,/files/ENCFF724EMZ/,/files/ENCFF946PZY/,/files/ENCFF368MWK/,/files/ENCFF033CAR/,/files/ENCFF100KST/,/files/ENCFF379LHC/,/files/ENCFF014AWF/,/files/ENCFF421EUK/,/files/ENCFF049JUK/,/files/ENCFF046FNK/,/files/ENCFF211AAW/,/files/ENCFF694SHS/,/files/ENCFF148JQN/,/files/ENCFF003MPD/,/files/ENCFF252UGK/,/files/ENCFF026UJY/,/files/ENCFF353ULN/,/files/ENCFF625BWN/,/files/ENCFF757VLY/,/files/ENCFF456SOS/,/files/ENCFF783INO/		ENCBS039CVO,ENCBS505ILK	2,1	1	ENCAB362LIJ	Homo sapiens	adult	53 years												/replicates/2e97e7c7-49c4-4da0-b20e-e3b7de5bd1f9/,/replicates/1c08ceb7-e736-42cf-906a-212501dae911/				
/experiments/ENCSR018WPY/	ENCSR018WPY	eCLIP	eCLIP	cell line	/targets/AQR-human/	AQR	AQR	Homo sapiens HepG2	HepG2	RBPImage:AQR,GEO:GSE176657	eCLIP experiment on HepG2 against AQR	Gene Yeo, UCSD	ENCODE	released	/files/ENCFF019WXR/,/files/ENCFF455ERC/,/files/ENCFF166EBF/,/files/ENCFF985BEH/,/files/ENCFF615YND/,/files/ENCFF072DMC/,/files/ENCFF135VSZ/,/files/ENCFF990SEI/,/files/ENCFF886TQE/,/files/ENCFF874FLM/,/files/ENCFF016UFV/,/files/ENCFF791WOH/,/files/ENCFF817TIH/,/files/ENCFF752JLL/,/files/ENCFF882PEQ/,/files/ENCFF947JHV/,/files/ENCFF159YFB/,/files/ENCFF393QAA/,/files/ENCFF484VYD/,/files/ENCFF495SJR/,/files/ENCFF073PST/,/files/ENCFF636MSJ/,/files/ENCFF163SMI/,/files/ENCFF480KMS/,/files/ENCFF351RHN/,/files/ENCFF323PUC/		ENCBS074YUC,ENCBS575NGC	1,2	1	ENCAB609IGM	Homo sapiens	child	15 years												/replicates/0d076fa2-014d-4bb0-bea5-a715a32f3dd5/,/replicates/33487566-e92f-4ac2-9b64-964d10293cca/				
/experiments/ENCSR488JKQ/	ENCSR488JKQ	eCLIP	eCLIP	cell line	/targets/UTP18-human/	UTP18	UTP18	Homo sapiens HepG2	HepG2	GEO:GSE177414,RBPImage:UTP18	eCLIP experiment on HepG2 against UTP18	Gene Yeo, UCSD	ENCODE	released	/files/ENCFF555EML/,/files/ENCFF117YFR/,/files/ENCFF019ITV/,/files/ENCFF466WOW/,/files/ENCFF747AWV/,/files/ENCFF220TVR/,/files/ENCFF040VQS/,/files/ENCFF301DXX/,/files/ENCFF569STQ/,/files/ENCFF196OAM/,/files/ENCFF227SZN/,/files/ENCFF235ASG/,/files/ENCFF512QJQ/,/files/ENCFF002NJF/,/files/ENCFF978BQG/,/files/ENCFF511WWE/,/files/ENCFF399VCU/,/files/ENCFF701IJS/,/files/ENCFF660POU/,/files/ENCFF176YUS/,/files/ENCFF146BNV/,/files/ENCFF840HCE/,/files/ENCFF422COM/,/files/ENCFF753YJQ/,/files/ENCFF926QBW/,/files/ENCFF644EIR/		ENCBS621TAB,ENCBS492SDY	1,2	1	ENCAB362LIJ	Homo sapiens	child	15 years												/replicates/8765b04a-b9fa-4e42-9da2-45f94fbc072b/,/replicates/144b8cef-ed7d-4936-bc24-592bb72ba8b9/				
/experiments/ENCSR154CSN/	ENCSR154CSN	eCLIP	eCLIP	cell line	/targets/DDX52-human/	DDX52	DDX52	Homo sapiens K562	K562	GEO:GSE176819	eCLIP experiment on K562 against DDX52	Gene Yeo, UCSD	ENCODE	released	/files/ENCFF794QAR/,/files/ENCFF533ART/,/files/ENCFF018JZA/,/files/ENCFF592QGC/,/files/ENCFF354DPT/,/files/ENCFF698DHB/,/files/ENCFF881DWJ/,/files/ENCFF851VGO/,/files/ENCFF535QEG/,/files/ENCFF023FQH/,/files/ENCFF818KZJ/,/files/ENCFF343EUG/,/files/ENCFF636YLN/,/files/ENCFF716JEM/,/files/ENCFF529NNX/,/files/ENCFF729XQQ/,/files/ENCFF586YIZ/,/files/ENCFF059IMV/,/files/ENCFF036SXG/,/files/ENCFF328GNH/,/files/ENCFF121SHB/,/files/ENCFF508LHH/,/files/ENCFF918MTI/,/files/ENCFF687HMY/,/files/ENCFF888SME/,/files/ENCFF198ULC/		ENCBS505ILK,ENCBS175JIH	2,1	1	ENCAB607JMR	Homo sapiens	adult	53 years												/replicates/f96b99fc-c769-418b-8f17-142dc9c6281c/,/replicates/9378abe8-fca5-4771-8f22-320ed19268ab/				
/experiments/ENCSR440SUX/	ENCSR440SUX	eCLIP	eCLIP	cell line	/targets/MATR3-human/	MATR3	MATR3	Homo sapiens K562	K562	GEO:GSE177241	eCLIP experiment on K562 against MATR3	Gene Yeo, UCSD	ENCODE	released	/files/ENCFF991YSW/,/files/ENCFF365CXY/,/files/ENCFF358JCT/,/files/ENCFF806OBL/,/files/ENCFF457BSQ/,/files/ENCFF010BJI/,/files/ENCFF698OGN/,/files/ENCFF776YBU/,/files/ENCFF074EAD/,/files/ENCFF703CJM/,/files/ENCFF121ZEY/,/files/ENCFF904GOE/,/files/ENCFF055OIQ/,/files/ENCFF564DPG/,/files/ENCFF162SAS/,/files/ENCFF014KBZ/,/files/ENCFF163VTI/,/files/ENCFF356OIG/,/files/ENCFF752ZNH/,/files/ENCFF597BHN/,/files/ENCFF558RNJ/,/files/ENCFF081JME/,/files/ENCFF073KHR/,/files/ENCFF470CYN/,/files/ENCFF046VQV/,/files/ENCFF246EPM/		ENCBS039CVO,ENCBS175JIH	2,1	1	ENCAB789SRM	Homo sapiens	adult	53 years												/replicates/4abe1345-3399-474e-b608-740236ba7e74/,/replicates/b10cc8ce-24eb-40ea-93e8-06087fd0df82/				
/experiments/ENCSR256CHX/	ENCSR256CHX	eCLIP	eCLIP	cell line	/targets/PCBP1-human/	PCBP1	PCBP1	Homo sapiens HepG2	HepG2	GEO:GSE176894,RBPImage:PCBP1	eCLIP experiment on HepG2 against PCBP1	Gene Yeo, UCSD	ENCODE	released	/files/ENCFF725CBA/,/files/ENCFF125HTS/,/files/ENCFF627OUC/,/files/ENCFF973FFS/,/files/ENCFF547HEQ/,/files/ENCFF041ULU/,/files/ENCFF144ZBH/,/files/ENCFF679TMH/,/files/ENCFF964VGV/,/files/ENCFF737KHA/,/files/ENCFF252BJN/,/files/ENCFF940CJE/,/files/ENCFF208ZBZ/,/files/ENCFF121EWJ/,/files/ENCFF933ESS/,/files/ENCFF138HUE/,/files/ENCFF336LKZ/,/files/ENCFF512ADR/,/files/ENCFF469KBI/,/files/ENCFF423IFM/,/files/ENCFF914VUW/,/files/ENCFF502OYV/,/files/ENCFF163UHG/,/files/ENCFF628HQO/,/files/ENCFF108TOJ/,/files/ENCFF098REE/		ENCBS074YUC,ENCBS575NGC	1,2	1	ENCAB000BFX	Homo sapiens	child	15 years												/replicates/0365b64d-5fa4-4e5b-bf43-d02b7b94aa68/,/replicates/188b21f4-ee7d-40f0-8332-c2a8f7b2ffeb/				
/experiments/ENCSR085JPB/	ENCSR085JPB	eCLIP	eCLIP	cell line	/targets/WDR43-human/	WDR43	WDR43	Homo sapiens HepG2	HepG2	GEO:GSE176970,RBPImage:WDR43	eCLIP experiment on HepG2 against WDR43	Gene Yeo, UCSD	ENCODE	released	/files/ENCFF503AHN/,/files/ENCFF577MTW/,/files/ENCFF133XVB/,/files/ENCFF291FNE/,/files/ENCFF569JWF/,/files/ENCFF938XEE/,/files/ENCFF416VBG/,/files/ENCFF126WLG/,/files/ENCFF034IPX/,/files/ENCFF944ZRE/,/files/ENCFF868YSF/,/files/ENCFF784AMG/,/files/ENCFF069PAM/,/files/ENCFF977RCC/,/files/ENCFF847AOM/,/files/ENCFF060BRD/,/files/ENCFF884EHK/,/files/ENCFF525GUS/,/files/ENCFF362ZCB/,/files/ENCFF025FEX/,/files/ENCFF966QXZ/,/files/ENCFF014YMA/,/files/ENCFF039OIV/,/files/ENCFF177OFX/,/files/ENCFF431WWR/,/files/ENCFF945NFS/		ENCBS881CIF,ENCBS492SDY	1,2	1	ENCAB350LKS	Homo sapiens	child	15 years												/replicates/c94b624f-fc52-4651-ab7d-001bd51b0c77/,/replicates/6008ac50-9f42-490a-92b6-baeb60399da9/				
/experiments/ENCSR735HOK/	ENCSR735HOK	eCLIP	eCLIP	cell line	/targets/YBX3-human/	YBX3	YBX3	Homo sapiens HepG2	HepG2	RBPImage:YBX3,GEO:GSE177585	eCLIP experiment on HepG2 against YBX3	Gene Yeo, UCSD	ENCODE	released	/files/ENCFF428UJW/,/files/ENCFF070GQY/,/files/ENCFF594XZD/,/files/ENCFF593QXS/,/files/ENCFF843MHP/,/files/ENCFF331WIZ/,/files/ENCFF781YNK/,/files/ENCFF662AZS/,/files/ENCFF827BCE/,/files/ENCFF893OBI/,/files/ENCFF268SII/,/files/ENCFF904UKX/,/files/ENCFF124VAO/,/files/ENCFF668DJX/,/files/ENCFF148DUH/,/files/ENCFF560ZTA/,/files/ENCFF988EAZ/,/files/ENCFF730NOU/,/files/ENCFF018RDR/,/files/ENCFF771LAD/,/files/ENCFF311PHS/,/files/ENCFF401TWM/,/files/ENCFF570XZG/,/files/ENCFF165UCU/,/files/ENCFF075TIW/,/files/ENCFF185OEI/		ENCBS074YUC,ENCBS575NGC	2,1	1	ENCAB021IRD	Homo sapiens	child	15 years												/replicates/0f19b4c7-777b-46b7-8b36-a305bd6f3c5f/,/replicates/80c4493b-82d3-46ac-be95-eec864548906/				
